Texto en /entradaOCR/IMG_20230615_085201289.jpg:
level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
4	1	14	1	3	0	0	2425	0	575	-1	
5	1	14	1	3	1	0	2425	0	575	95.000000	  

Texto en /entradaOCR/IMG_20230615_085130961.jpg:
level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	4000	3000	-1	
2	1	1	0	0	0	0	0	0	3000	-1	
3	1	1	1	0	0	0	0	0	3000	-1	
4	1	1	1	1	0	0	0	0	3000	-1	
5	1	1	1	1	1	0	0	0	3000	95.000000	                      
2	1	2	0	0	0	0	0	0	0	-1	
3	1	2	1	0	0	0	0	0	0	-1	
4	1	2	1	1	0	0	0	0	0	-1	
5	1	2	1	1	1	0	0	0	0	95.000000	   
2	1	3	0	0	0	3472	325	517	1773	-1	
3	1	3	1	0	0	3808	331	181	1518	-1	
4	1	3	1	1	0	3808	815	181	1034	-1	
5	1	3	1	1	1	3819	331	99	99	0.000000	ee
5	1	3	1	1	2	3845	680	53	114	13.218613	2.
5	1	3	1	1	3	3808	815	171	568	0.000000	OMELET
5	1	3	1	1	4	3827	1403	162	80	0.000000	Md
5	1	3	1	1	5	3852	1531	108	1	93.115280	|
5	1	3	1	1	6	3825	1549	154	132	89.254005	ns
